iter	Passed	Remaining
0	548	163987
1	939	139985
2	1414	139991
3	1760	130274
4	2160	127473
5	2652	129985
6	3203	134106
7	4309	157309
8	4754	153714
9	5364	155562
10	6057	159135
11	6605	158532
12	7000	154546
13	7362	150403
14	7843	149022
15	8228	146059
16	8498	141480
17	8780	137564
18	9061	134016
19	9431	132046
20	9747	129507
21	10035	126811
22	10550	127067
23	11080	127422
24	11603	127633
25	12013	126606
26	12469	126076
27	12883	125150
28	13325	124524
29	13763	123867
30	14182	123066
31	14471	121200
32	14802	119768
33	15301	119711
34	15589	118036
35	16114	118170
36	16476	117117
37	16802	115846
38	17133	114661
39	17437	113340
40	17734	112032
41	18128	111360
42	18578	111036
43	19042	110795
44	19633	111257
45	20112	111055
46	20576	110761
47	21043	110480
48	21734	111331
49	22448	112240
50	22757	111108
51	23067	110012
52	23381	108967
53	23686	107906
54	23959	106727
55	24225	105552
56	24481	104369
57	24739	103225
58	25050	102326
59	25307	101229
60	25587	100253
61	25848	99224
62	26114	98240
63	26382	97286
64	26625	96261
65	26888	95332
66	27133	94359
67	27414	93532
68	27768	92963
69	28165	92542
70	28401	91605
71	28632	90670
72	28868	89767
73	28938	88378
74	29158	87476
75	29413	86691
76	29653	85879
77	29906	85118
78	30046	84053
79	30157	82932
80	30409	82217
81	30671	81540
82	30766	80438
83	31016	79755
84	31249	79041
85	31563	78541
86	31987	78313
87	32157	77470
88	32396	76805
89	32651	76186
90	32885	75527
91	33114	74868
92	33374	74286
93	33506	73428
94	33887	73125
95	34312	72913
96	34675	72567
97	35067	72281
98	35442	71958
99	35831	71663
100	36207	71339
101	36567	70984
102	36932	70638
103	37271	70242
104	38325	71176
105	38661	70758
106	38759	69912
107	38998	69329
108	39230	68742
109	39471	68178
110	39700	67598
111	39935	67034
112	40166	66469
113	40399	65914
114	40626	65355
115	40859	64811
116	41089	64268
117	41315	63723
118	41568	63225
119	41803	62705
120	42029	62175
121	42272	61675
122	42509	61172
123	42734	60656
124	43048	60268
125	43450	60002
126	43702	59531
127	43973	59089
128	44249	58656
129	44534	58237
130	44884	57904
131	45149	57463
132	45398	57004
133	45615	56509
134	45853	56042
135	46077	55563
136	46311	55100
137	46610	54716
138	46894	54316
139	47125	53858
140	47329	53371
141	47396	52736
142	47608	52269
143	47677	51650
144	47912	51216
145	48126	50763
146	48344	50317
147	48426	49735
148	48699	49352
149	48932	48932
150	49150	48499
151	49230	47935
152	49468	47528
153	49807	47220
154	50159	46923
155	50577	46687
156	50731	46207
157	50856	45706
158	51602	45760
159	51949	45455
160	52268	45126
161	53009	45155
162	53357	44846
163	53728	44555
164	54084	44250
165	54336	43861
166	54553	43446
167	54769	43033
168	54992	42627
169	55311	42296
170	55554	41909
171	55645	41410
172	55897	41034
173	56133	40648
174	56206	40147
175	56432	39759
176	56513	39271
177	56602	38794
178	56682	38316
179	56923	37948
180	57170	37587
181	57396	37213
182	57641	36852
183	57891	36496
184	58112	36124
185	58326	35748
186	58555	35383
187	58798	35028
188	59024	34664
189	59252	34303
190	59475	33941
191	59860	33671
192	60287	33423
193	60587	33104
194	60858	32770
195	61090	32415
196	61335	32069
197	61580	31723
198	61799	31365
199	62035	31017
200	62273	30671
201	62520	30331
202	62788	30002
203	63018	29655
204	63239	29306
205	63492	28972
206	63901	28709
207	64218	28404
208	64427	28052
209	64526	27654
210	64764	27317
211	64985	26975
212	65227	26642
213	65438	26297
214	65746	25992
215	66072	25694
216	66418	25404
217	66788	25122
218	67153	24837
219	67546	24562
220	67881	24265
221	68269	23986
222	68676	23713
223	69011	23414
224	69266	23088
225	69509	22759
226	69749	22430
227	69984	22100
228	70242	21778
229	70490	21453
230	70753	21134
231	71005	20812
232	71246	20487
233	71495	20165
234	71743	19843
235	71966	19516
236	72187	19189
237	72426	18867
238	72665	18546
239	72931	18232
240	73141	17906
241	73384	17587
242	73611	17266
243	73829	16944
244	74102	16635
245	74351	16321
246	74596	16006
247	74819	15688
248	74944	15350
249	75206	15041
250	75452	14729
251	75675	14414
252	75916	14102
253	76151	13791
254	76364	13476
255	76598	13165
256	76827	12854
257	77052	12543
258	77274	12232
259	77501	11923
260	77753	11618
261	78000	11313
262	78251	11008
263	78504	10705
264	78750	10401
265	79026	10101
266	79275	9798
267	79512	9494
268	79750	9190
269	80014	8890
270	80244	8587
271	80468	8283
272	80733	7984
273	80977	7683
274	81265	7387
275	81585	7094
276	81938	6803
277	82321	6514
278	82740	6227
279	83079	5934
280	83390	5638
281	83726	5344
282	84038	5048
283	84345	4751
284	84587	4451
285	84904	4156
286	85158	3857
287	85396	3558
288	85645	3259
289	85753	2957
290	85961	2658
291	86201	2361
292	86448	2065
293	86673	1768
294	86917	1473
295	87157	1177
296	87391	882
297	87648	588
298	87892	293
299	88146	0
